ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-07-11 13:56,18831,Doja,Central Cee,Doja,spotify:track:3LtpKP5abr2qqjunvjlX5i,trackdone,logout,FALSE,FALSE,FALSE,1689072472,FALSE
2023-07-13 10:19,311866,Stronger,Kanye West,Graduation,spotify:track:0j2T0R9dR9qdJYsB7ciXhf,clickrow,trackdone,FALSE,FALSE,FALSE,1689243279,FALSE
2023-07-13 10:23,243880,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,(When You Gonna) Give It up to Me (feat. Keyshia Cole),spotify:track:5nEdwtSv0qqeE0l4o1lR4q,trackdone,trackdone,FALSE,FALSE,FALSE,1689243578,FALSE
2023-07-13 10:27,219986,More - RedOne Jimmy Joker Remix,USHER,More,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,trackdone,trackdone,FALSE,FALSE,FALSE,1689243810,FALSE
2023-07-13 10:33,378734,Hips Don't Lie (feat. Wyclef Jean) - Live - December 2006,Shakira,Shakira Oral Fixation Tour (Live),spotify:track:52XoFtAGfg9AFuCB4YCcVQ,trackdone,fwdbtn,FALSE,TRUE,FALSE,1689244018,FALSE
2023-07-13 10:35,123890,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock,spotify:track:4FyesJzVpA39hbYvcseO2d,fwdbtn,trackdone,FALSE,FALSE,FALSE,1689244398,FALSE
2023-07-13 10:40,272506,No Church In The Wild,JAY-Z,Watch The Throne,spotify:track:3Osd3Yf8K73aj4ySn6LrvK,trackdone,trackdone,FALSE,FALSE,FALSE,1689244509,FALSE
2023-07-13 10:43,166882,WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,WATATI (feat. Aldo Ranks) [From Barbie The Album],spotify:track:6MZi5j60L80SZLBxN0bv8s,trackdone,trackdone,FALSE,FALSE,FALSE,1689244820,FALSE
2023-07-13 10:53,41160,La Bebe - Remix,Yng Lvcas,La Bebe,spotify:track:2UW7JaomAMuX9pZrjVpHAU,trackdone,logout,FALSE,FALSE,FALSE,1689244975,FALSE
2023-07-13 11:03,661,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular,spotify:track:6WzRpISELf3YglGAh7TXcG,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689246234,FALSE
2023-07-13 11:03,23,Ayo Technology,50 Cent,Curtis,spotify:track:6kfQDanT6Buh4Wu73ghbav,fwdbtn,backbtn,FALSE,TRUE,FALSE,1689246234,FALSE
2023-07-13 11:07,215466,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular,spotify:track:6WzRpISELf3YglGAh7TXcG,backbtn,trackdone,FALSE,FALSE,FALSE,1689246236,FALSE
2023-07-13 11:20,193958,Ayo Technology,50 Cent,Curtis,spotify:track:6kfQDanT6Buh4Wu73ghbav,trackdone,logout,FALSE,FALSE,FALSE,1689246438,FALSE
2023-07-13 12:06,235555,Ramenez la coupe à la maison,Vegedream,Marchand de sable,spotify:track:1m0UFnuTktOkksvjbF9z0m,fwdbtn,trackdone,FALSE,FALSE,FALSE,1689249784,FALSE
2023-07-13 12:09,175686,California Love,Cheema Y,ANYWAY,spotify:track:610keNiNVTIkYD0CqeSerg,trackdone,trackdone,FALSE,FALSE,FALSE,1689250007,FALSE
2023-07-13 12:12,9755,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular,spotify:track:67gUqq3wVAztSquOpNZ4Xs,trackdone,fwdbtn,FALSE,TRUE,FALSE,1689250351,FALSE
2023-07-13 12:12,192075,Zones,Zak Downtown,Dream Soda,spotify:track:4uZRE3FwwtA6NG7sKPXK7f,trackdone,trackdone,FALSE,FALSE,FALSE,1689250171,FALSE
2023-07-13 12:16,229439,A LIGHT THAT NEVER COMES,Linkin Park,RECHARGED,spotify:track:3BnBKNItMng824sLx0pUfy,fwdbtn,trackdone,FALSE,FALSE,FALSE,1689250362,FALSE
2023-07-13 12:19,193466,In Da Club,50 Cent,Get Rich Or Die Tryin',spotify:track:7iL6o9tox1zgHpKUfh9vuC,trackdone,trackdone,FALSE,FALSE,FALSE,1689250578,FALSE
2023-07-13 12:21,160000,Setting,Arjan Dhillon,Setting,spotify:track:3HJRVmgJQ8Bg1guFckZKh9,trackdone,trackdone,FALSE,FALSE,FALSE,1689250760,FALSE
2023-07-13 12:34,83052,Song for Denise - Wide Walking Version,Piano Fantasia,Song for Denise,spotify:track:18wqoGfPbNUtJshtZNJ7H5,trackdone,logout,FALSE,FALSE,FALSE,1689250908,FALSE
2023-07-13 16:59,1093,California Love,Cheema Y,ANYWAY,spotify:track:610keNiNVTIkYD0CqeSerg,clickrow,endplay,FALSE,TRUE,FALSE,1689267596,FALSE
2023-07-13 17:00,8324,California Love,Cheema Y,ANYWAY,spotify:track:610keNiNVTIkYD0CqeSerg,clickrow,endplay,FALSE,TRUE,FALSE,1689267631,FALSE
2023-07-13 17:00,4675,Cheri Cheri Lady,Modern Talking,Let's Talk About Love,spotify:track:2aEuA8PSqLa17Y4hKPj5rr,clickrow,endplay,FALSE,TRUE,FALSE,1689267644,FALSE
2023-07-13 17:00,4246,Check It Out,Parmish Verma,Check It Out,spotify:track:4VosVUajzm6nzGlSb6nP3L,clickrow,endplay,FALSE,TRUE,FALSE,1689267649,FALSE
2023-07-13 17:01,12522,Chorni,DIVINE,Chorni,spotify:track:3GEiVoaUXq468gfYs2EPfh,clickrow,endplay,FALSE,TRUE,FALSE,1689267669,FALSE
2023-07-13 17:04,210361,Take It Easy,Karan Aujla,Four You,spotify:track:5si4xdFplkXAydKfFe1xXa,clickrow,trackdone,FALSE,FALSE,FALSE,1689267684,FALSE
2023-07-13 17:04,15900,Dilawara,The PropheC,Dilawara,spotify:track:1C6auFaK08OhOTJ8bfrAiG,trackdone,endplay,FALSE,TRUE,FALSE,1689267882,FALSE
2023-07-13 17:05,3092,One Dance,Drake,Views,spotify:track:1zi7xx7UVEFkmKfv06H8x0,clickrow,fwdbtn,FALSE,TRUE,FALSE,1689267917,FALSE
2023-07-13 17:05,367,Let Me Love You,DJ Snake,Encore,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689267920,FALSE
2023-07-13 17:05,686,We Found Love,Rihanna,Talk That Talk,spotify:track:6qn9YLKt13AGvpq9jfO8py,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689267921,FALSE
2023-07-13 17:05,1655,Make My Day (with David Guetta),Coi Leray,COI,spotify:track:4f0i8ligJspqXf8qeAV1sS,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689267922,FALSE
2023-07-13 17:05,857,Starboy,The Weeknd,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,fwdbtn,backbtn,FALSE,TRUE,FALSE,1689267924,FALSE
2023-07-13 17:05,3061,Make My Day (with David Guetta),Coi Leray,COI,spotify:track:4f0i8ligJspqXf8qeAV1sS,backbtn,fwdbtn,FALSE,TRUE,FALSE,1689267926,FALSE
2023-07-13 17:05,833,Starboy,The Weeknd,Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689267929,FALSE
2023-07-13 17:05,2167,Cooped Up / Return Of The Mack,Post Malone,Cooped Up / Return Of The Mack,spotify:track:6Ole34qqbgkZ60IyrcVm7e,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1689267931,FALSE
